StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q61,Q29,Q27,Q51,Q52,Q53,Q31,Q30,Q33,Q34,Q32,Q35,Q36,Q37,Q38,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q55,Q56,Q40,Q41,Q42,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q44,Q45,Q6,Q50,Q9,Q25,Q16,Q17,Q46,Q47,Q60,Q65,Q28,Q57,Q58,Q59,Q18,Q19,Q23,Q48,Q49
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you agree with the information above and consent to take the survey?,"How likely are you to pursue a CPA license? If you aren't sure, select ""Neither likely nor unlikely""",Are you currently an undergraduate student or graduate student?,"How has the availability of
(or knowledge about) the alternative pathway to CPA licensure impacted your desire to
pursue the CPA license?","How has the availability of
(or knowledge about) the alternative pathway to CPA licensure impacted your desire to
pursue a graduate degree (MAcc or MBA)?",Were you aware of the alternative pathway to CPA licensure before taking the survey?,Were you aware of the alternative pathway to CPA licensure before beginning the graduate program?,"How much did the graduate program’s ability to help you meet CPA licensure requirements (i.e., 150 credit hour requirement of the traditional pathway) influence your decision to enroll in the program?","To what extent do you agree with the following statement about the value of a graduate accounting degree?

Earning a graduate degree will help me move up the career ladder more quickly than if I did not pursue a graduate degree.","To what extent do you agree with the following statement about the value of a graduate accounting degree?

Earning a graduate degree may delay my career advancement compared to peers who started full-time jobs earlier.",Please briefly describe any other factors that influenced you to pursue a graduate degree.,How likely would you have been to pursue a graduate degree if you had known about the alternative pathway to CPA licensure before you entered the graduate program?,Please explain why you would have been likely or unlikely to pursue a graduate degree had you known about the alternative pathway before beginning the graduate program?,"Given that you entered the graduate program with the knowledge of the alternative pathway to CPA licensure, how satisfied are you that you’re pursuing a graduate degree?",What about the graduate program has made you feel satisfied or unsatisfied with your choice to pursue a graduate degree?,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Auditing","Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Taxation","Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Financial Accounting","Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Management Accounting","Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Information Systems","Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Data Analytics","Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Other business management courses (management, marketing, economics, etc)",Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - CPA Exam Preparation,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Networking Opportunities with Peers and Alumni,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Interaction with Experienced Faculty,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Coursework that Enhances Technical Accounting Skills,"Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Soft Skill (communication, leadership) Development",Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Internship and Recruiting Opportunities,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Online courses that allow for flexible learning,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Specialized tracks or career-focused credentials,Do you believe that earning a graduate degree would result in higher lifetime earnings compared to entering the workforce after your undergraduate degree?,"Please explain how you have personally thought about the costs and benefits (e.g., tuition, lost income, expected salary, future promotions) of attending graduate school.",To what extent do you agree with the following statement? The graduate accounting curriculum has prepared me to pass the CPA Exam.,"If you believe that a graduate accounting degree is valuable beyond attaining CPA certification eligibility, please describe the reasons you believe it is valuable.",What career options do you believe will open up to you by completing graduate education that would not have been otherwise available?,"If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - CPA Exam Preparation","If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Networking Opportunities with Peers and Alumni","If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Interaction with Experienced Faculty","If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Coursework that Enhances Technical Accounting Skills","If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Opportunities to Develop Soft Skills (e.g., communication, leadership)","If you had chosen to pursue the alternative pathway, which of the following aspects of a graduate program would be hardest to replace? (Rank from most (1) to least (6) beneficial) - Internship and Recruitment Opportunities",Do you believe that earning a graduate degree will result in higher lifetime earnings compared to entering the workforce after your undergraduate degree?,"Please explain how you have personally thought about the costs and benefits (e.g., tuition, lost income, expected salary, future promotions) of attending graduate school.",What is your overall perception of the change to CPA licensure pathways that creates an alternative pathway with fewer credit hours and an extra year of work experience?,Please explain your reasoning for the answer you selected above.,"Please share any thoughts on how the graduate program could be improved or adapted in light of potential changes to CPA licensure pathways. Consider areas such as coursework, program structure, career services, or student support services, and please be as specific as possible.","Instead of a full graduate program, how attractive would you find a shorter graduate certificate (total of three to four courses at graduate tuition rates)? This graduate certificate would focus on specialized accounting topics such as taxation, information systems, data analytics, or other areas that align with key domains of accounting expertise and the specialized sections of the CPA exam.",Are you a full-time or part-time student?,What is your undergraduate degree major?,Do you currently work more than 20 hours a week in the accounting field while pursuing a degree?,Do you currently work in a CPA firm?,In which state is your school located?,What is your age?,"Have you already taken this survey before for another class? (If you have, you will still receive recognition for completion, but we need to set aside your second response for research purposes)",Is your graduate program mostly/fully online or mostly/fully in person?,"Are you enrolled in an MAcc, MBA, or other graduate program?",What influenced your choice of graduate degree program beyond the others mentioned?,Did you complete your undergraduate degree from the same university from which you are pursuing your graduate degree?,Did you start the graduate program within two years of graduating with an undergraduate degree?,How many years of full-time work experience did you have before entering the graduate degree program?,Do you have a job offer within the accounting field that begins around your graduation date from the graduate program?,Has your current or future employer emphasized that they require or strongly encourage a graduate degree in order to maintain a job offer or gain promotion?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID61""}","{""ImportId"":""QID29""}","{""ImportId"":""QID27""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID39_7""}","{""ImportId"":""QID39_8""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID60""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}"
2025-11-21 01:28:41,2025-11-21 01:37:23,IP Address,100,521,True,2025-11-21 01:37:23,R_3fVRxsnTNVXSp8D,anonymous,EN,Yes,Very likely,Graduate,,,,Yes,It was the primary factor in my decision to pursue a graduate program.,Somewhat agree,Somewhat disagree,,,,Somewhat satisfied,,1,4,5,6,3,2,7,Extremely important,Very important,Slightly important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,,,Neither agree nor disagree,,,1,3,4,5,6,2,Definitely yes,,Neutral,,,Neither attractive nor unattractive,Full-time,Accounting,No,No,Texas,22,No,Fully or mostly online,MAcc,,No,Yes,,No,Yes
2025-11-21 04:34:09,2025-11-21 04:56:07,IP Address,100,1318,True,2025-11-21 04:56:07,R_53xqS5nQKlWLjP1,anonymous,EN,Yes,Very likely,Graduate,,,,No,It was a significant factor among others in my decision to pursue a graduate program.,Strongly agree,Somewhat agree,"Additional asset to add to my resume ",Somewhat likely,"I believe any additional knowledge and experience would be beneficial whether I was going to pursue the CPA exam or not. I hope to have an upper hand when completing job application over those who do not have a graduate degree. ",,,4,5,3,6,1,2,7,Moderately important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Moderately important,,,Neither agree nor disagree,,"Openings beyond just entry level positions ",2,5,4,6,1,3,Definitely yes,"I saw this as an investment in my future. I do not have the experience that employers may want yet so I hope that my graduate degree will compensate at least a little bit for that lack of experience. After getting my undergraduate in 2020 I became pregnant and had 3 children with my husband by 2023, and I chose to care for my children because they were my priority in that time. So those years put me behind, I feel, the sense of my professional world. Attending graduate school to me is worth the cost of gaining knowledge and being able to share the credential with future employers. ",Somewhat Negative,"I believe that the more advanced courses that you would obtain after getting the 120 hours are very beneficial to anyone obtaining their CPA license ","Making each course more applicable to real world experiences, and not solely theoretical. I feel like a lot of textbooks are outdated and confined in possibilities. I appreciate project work more than exams, I believe it is more beneficial and tactical. ",Somewhat attractive,Part-time,Accounting,No,No,Texas,28,No,Fully or mostly online,MAcc,,No,No,5,No,No
2025-11-21 04:46:56,2025-11-21 05:00:11,IP Address,100,794,True,2025-11-21 05:00:11,R_3R1DTey9xSv9izD,anonymous,EN,Yes,Very likely,Graduate,,,,Yes,It was the primary factor in my decision to pursue a graduate program.,Strongly agree,Somewhat disagree,I am an accountant and want to explore other opportunities that require a CPA.,,,Extremely satisfied,I am satisfied with the content provided in each class. The professors are educated and help with the classes and the process to complete my MAcc.,4,3,1,2,6,5,7,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,,,Somewhat agree,A specialized degree such as the MAcc provides confidence that an individual studied specific courses in accounting. This add value to a CPA certification.,"I believe the ability to be a controller, CFO or owning my own practice will be more available once I complete my graduate education.",3,5,1,2,6,4,Definitely yes,I think the cost is very reasonable. I compared programs and this program was one of the least expensive options.,Somewhat Positive,I do not like the additional year of work experience that was added.,I would like to see a course added specifically for CPA preparation.,Somewhat attractive,Part-time,Accounting,Yes,No,Texas,49,No,Fully or mostly online,MAcc,I want to sit for the CPA exam and j need more accounting hours and business law.,No,No,8,No,No
2025-11-21 05:52:22,2025-11-21 06:04:41,IP Address,100,738,True,2025-11-21 06:04:41,R_3rCJfx9KvGTJe8o,anonymous,EN,Yes,Somewhat likely,Graduate,,,,No,It was a significant factor among others in my decision to pursue a graduate program.,Strongly agree,Somewhat disagree,,Extremely likely,,,,1,2,3,4,5,6,7,Extremely important,Very important,Very important,Extremely important,Moderately important,Extremely important,Moderately important,Very important,,,Somewhat agree,,,1,4,5,2,6,3,Definitely yes,,Somewhat Positive,,,Very attractive,Full-time,Accounting,Yes,No,Texas,24,No,Fully or mostly online,MAcc,,No,Yes,6,No,No
2025-11-21 06:29:55,2025-11-21 06:39:43,IP Address,100,587,True,2025-11-21 06:39:43,R_6EeUtxh8X1L4VGh,anonymous,EN,Yes,Very likely,Graduate,,,,No,It was the primary factor in my decision to pursue a graduate program.,Strongly agree,Strongly agree,"I wanted to pursue a graduate degree to obtain 150 credit hours, which is a prerequisite for enrolling in the CPA exam. Until recently, the state changed the law to 120 credit hours and 2 years of working experience. Since I am already enrolled, I decided to finish my graduate program regardless of the change in credit hours.",Neither likely nor unlikely,"I would be unsure if I knew the state was going to change the credit hours from 150 to 120. However, since I am already enrolled, I will continue and finish my graduate program.",,,6,5,1,2,3,4,7,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,Strongly agree,I believe that having a CPA licence and a master's degree will make you stand out more in the workforce.,"Completing a graduate education significantly expands the range of career opportunities available to me, many of which would be difficult or nearly impossible to access with only an undergraduate degree. In accounting, a master’s program not only deepens technical knowledge but also signals a higher level of professional preparation to employers.",,,,,,,Definitely yes,"When deciding to attend graduate school, I had to weigh both the financial costs and the long-term career benefits. On the cost side, tuition was the most obvious factor. I knew that completing a master’s program would require a meaningful financial investment, especially when combined with textbooks, fees, and other academic expenses.",Neutral,"I am neutral about the change that happened. I was first upset because I had already enrolled in a graduate program, but now I see that it is better to have a masters degree and a CPA licence.","With the ongoing discussions around modernizing CPA licensure, especially the move toward more technology-focused pathways, I believe the graduate program has an opportunity to adapt in ways that better prepare students for the future of the profession",Very attractive,Full-time,Accounting,Yes,Yes,Texas,23,No,Fully or mostly online,MAcc,I wanted to further my knowledge and gain more experience in accounting.,No,Yes,2,No,Yes
2025-11-21 06:43:47,2025-11-21 06:50:30,IP Address,100,403,True,2025-11-21 06:50:30,R_1cpazEl8SVGhmnI,anonymous,EN,Yes,Very unlikely,Graduate,,,,Yes,It was the only reason I chose to pursue a graduate program.,Strongly disagree,Strongly disagree,"Other certification requirements ",,,Neither satisfied nor dissatisfied,Some classes do not present the information well.,7,1,2,4,5,3,6,Very important,Very important,Slightly important,Very important,Moderately important,Very important,Extremely important,Extremely important,,,Somewhat disagree,N/A,None,3,6,1,4,2,5,Definitely not,The cost of 15K for the graduate degree I take as a sunk but necessary cost. This degree will allow me to avoid a lot of additional work required by the state for different certification licensures,Neutral,"No comment ","McGrawhill quizzes are generally not similar to homework’s/book reading. This is generally an area that causes students to struggle ",Not at all attractive,Full-time,Accounting,Yes,Yes,Texas,24,No,Fully or mostly online,MAcc,"Cost ",No,Yes,2,No,No
2025-11-21 07:16:34,2025-11-21 07:26:07,IP Address,100,573,True,2025-11-21 07:26:08,R_31zifsL87jg3b2a,anonymous,EN,Yes,Neither likely nor unlikely,Graduate,,,,Yes,It was a minor factor in my decision to pursue a graduate program.,Somewhat agree,Strongly disagree,,,,Extremely satisfied,,1,2,3,4,5,6,7,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,,,Neither agree nor disagree,,,1,2,5,6,3,4,Probably yes,,Neutral,,,Somewhat attractive,Part-time,Other Business / Non-accounting,Yes,No,Texas,56,No,Fully or mostly online,MAcc,,No,No,,No,No
2025-11-21 07:11:16,2025-11-21 07:31:54,IP Address,100,1237,True,2025-11-21 07:31:54,R_1P1NtBRJQLOcTnI,anonymous,EN,Yes,Somewhat unlikely,Undergraduate,No change in desire,No change in desire,No,,,,,,,,,,3,4,1,2,5,6,7,Very important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Might or might not,"I’ve thought about graduate school many times, but the main thing that stops me is the cost. I come from a low-income family, so I wouldn’t have any help paying for it. Taking out loans would mean putting myself in debt that could take years to pay off, and that’s a huge weight to think about.
I’ve also looked at the benefits. I know graduate school can lead to higher pay or better job opportunities, but those benefits usually don’t show up right away. From what I’ve seen in my own work experience, promotions can depend on education, but they also depend a lot on experience. I’ve worked alongside people with degrees, and we often start in the same place and move up at the same pace. I’ve also seen people reach high positions without an undergraduate or graduate degree at all.
So when I compare the cost, the debt, and the time to see any payoff to where I am now and the experience I’m gaining, graduate school doesn’t feel like the right choice for me personally.",,,,,,,,,,,,Neutral,I have never been drawn to the CPA exam or taking it. My “dream” jobs in the accounting world don’t necessarily need a CPA so to me I’m okay not taking it so the news doesn’t affect me that much.,"As CPA licensure pathways continue to change, I think the graduate program could be improved by becoming more flexible and more focused on real-world experience. If states begin allowing more experience hours in place of extra coursework, it would help if the program offered structured internship or work-based learning options that count toward both degree requirements and CPA preparation. That would make the program feel more practical and aligned with what employers are asking for.",Very attractive,Full-time,Accounting,Yes,No,Texas,22,No,,,,,,,,
